study_hours,attendance,previous_score,assignment_score,sleep_hours,internet_access,final_score
15.9,80.4,65.1,76.6,8.1,1,100.0
14.4,95.8,63.7,69.1,4.6,0,84.1
13.5,84.6,71.8,77.2,7.4,0,84.7
7.6,83.3,60.1,82.1,8.4,1,88.7
11.4,93.8,83.5,54.5,6.4,1,96.3
12.7,91.5,70.0,86.6,8.1,1,100.0
20.3,69.2,69.9,71.6,10.0,1,100.0
16.7,99.8,66.1,79.3,6.8,1,99.9
6.2,98.8,71.9,87.0,7.6,1,96.7
16.6,78.7,79.9,61.3,5.9,1,90.5
13.1,89.0,59.6,67.9,7.3,1,93.8
11.6,89.9,62.1,72.1,7.7,1,92.8
18.1,87.6,66.4,67.2,7.3,1,95.0
20.2,79.5,53.8,92.3,5.5,1,85.6
19.7,78.3,60.2,66.4,7.3,1,98.3
10.8,84.7,64.3,69.4,9.2,1,87.5
13.5,96.7,80.5,77.0,7.7,1,100.0
16.7,90.4,73.2,63.0,8.4,0,96.4
19.9,81.3,72.3,71.0,6.6,1,93.5
12.6,92.7,80.2,78.2,8.1,1,96.8
14.1,56.5,68.4,71.7,7.4,1,77.5
9.5,96.5,74.7,74.1,5.6,1,97.5
9.0,67.6,68.8,69.7,7.5,0,78.0
19.1,81.4,73.2,59.9,5.5,1,100.0
21.8,73.8,63.0,78.2,6.1,0,85.6
14.6,72.1,40.7,92.5,7.3,1,80.4
20.0,96.6,68.4,75.2,7.4,0,96.2
16.8,80.3,87.1,77.3,5.2,1,100.0
11.8,88.5,81.1,81.9,8.6,0,95.8
16.8,84.5,81.6,62.3,7.9,1,100.0
22.7,89.8,84.8,92.0,5.9,1,100.0
14.8,85.8,71.1,77.0,4.7,1,87.9
22.8,72.2,72.4,91.3,6.8,0,90.1
1.9,95.0,62.6,67.7,6.3,1,74.2
19.1,80.1,66.2,93.2,7.2,1,98.2
15.4,69.4,77.4,82.8,6.5,0,89.2
13.5,80.7,84.4,80.5,4.0,1,93.3
15.5,100.0,68.3,77.3,6.4,1,100.0
5.1,93.5,64.6,72.5,6.5,1,92.1
13.9,81.5,70.0,87.0,8.0,1,96.6
16.8,81.5,77.2,76.4,6.0,0,85.9
22.4,81.8,52.7,55.3,9.5,1,91.6
12.4,100.0,42.4,63.8,4.1,1,78.4
11.0,88.8,63.4,73.1,9.0,0,86.3
12.5,89.3,55.4,78.1,6.7,1,86.8
19.6,95.3,63.9,74.4,8.3,1,99.5
16.6,87.4,68.2,87.2,7.1,1,98.3
12.4,82.4,64.6,55.5,8.7,1,87.1
17.6,83.0,87.4,76.4,6.4,1,100.0
15.5,84.3,73.9,56.8,5.4,0,88.2
19.8,84.6,73.6,82.6,9.1,1,100.0
11.5,92.3,77.5,74.1,6.8,1,100.0
13.4,85.5,56.3,79.2,7.3,1,86.8
13.0,92.3,82.5,66.4,8.9,1,96.2
7.7,84.2,69.1,87.8,5.5,0,86.4
16.5,85.8,78.0,85.4,7.9,0,95.8
16.3,65.0,57.1,80.8,6.1,1,87.0
15.0,94.2,51.4,73.7,6.8,1,81.1
13.8,88.5,79.8,80.8,7.1,1,100.0
7.9,95.0,74.5,67.9,4.7,1,92.9
12.9,56.0,59.2,83.6,5.8,1,75.2
13.3,100.0,59.6,91.5,9.0,1,95.4
11.0,83.6,83.5,85.7,8.3,1,100.0
14.2,96.1,55.7,67.7,6.9,1,88.4
17.0,74.6,89.7,78.6,7.4,1,100.0
24.4,91.1,59.2,62.1,6.6,1,88.8
15.9,74.5,77.7,80.7,9.0,1,99.4
16.3,78.8,66.1,79.5,6.7,1,93.2
14.6,100.0,77.2,56.3,7.3,1,100.0
5.4,83.1,63.5,63.4,8.7,0,74.8
14.9,87.2,68.0,72.2,5.8,1,87.3
15.3,93.7,70.5,72.0,9.3,1,100.0
27.3,90.0,58.0,62.9,4.7,1,100.0
14.0,86.5,78.9,78.9,9.4,1,97.3
16.5,88.6,63.8,77.5,6.4,0,94.7
14.8,100.0,67.3,73.1,6.6,1,98.4
9.2,84.4,58.1,67.4,4.2,1,85.1
20.7,87.0,39.3,85.5,6.3,0,84.6
18.8,95.5,67.7,91.6,5.4,1,92.1
19.0,96.1,99.0,70.2,6.1,1,100.0
10.5,96.9,79.4,68.9,6.8,1,100.0
22.0,91.4,69.8,79.9,8.4,1,100.0
8.0,73.6,66.8,71.4,7.3,1,83.9
17.9,100.0,70.3,73.6,7.5,1,100.0
26.0,73.5,76.6,82.4,5.4,1,91.5
10.0,88.0,55.8,55.9,5.7,0,83.1
12.2,77.5,83.4,88.2,9.7,1,100.0
15.5,84.4,78.6,75.7,5.9,1,100.0
12.5,88.3,78.6,70.9,9.5,1,100.0
7.2,88.2,75.3,74.1,6.6,1,97.1
15.3,89.2,70.2,74.6,7.0,1,99.1
9.7,100.0,78.1,57.7,8.6,0,92.5
17.4,89.5,77.1,89.9,8.9,1,100.0
10.4,82.6,65.8,75.4,6.8,1,92.9
22.7,94.6,63.1,79.4,6.4,1,94.8
11.1,96.9,71.2,84.5,6.9,1,100.0
13.4,72.7,88.6,64.8,7.5,0,87.8
19.1,91.0,55.1,79.7,8.3,1,100.0
8.8,92.0,52.4,72.3,7.0,0,81.2
16.1,82.0,72.0,83.5,7.9,1,100.0
21.5,98.8,70.6,53.7,9.5,1,100.0
7.0,83.5,72.1,74.0,7.6,1,83.7
15.9,86.3,72.9,69.0,7.5,1,94.4
16.3,83.3,67.3,79.3,4.7,1,95.5
18.9,85.2,87.9,79.7,4.0,1,100.0
8.8,74.0,50.8,67.9,7.6,1,84.3
8.4,70.6,60.1,67.9,6.9,1,82.5
17.6,100.0,68.8,73.9,6.2,1,96.8
16.5,76.5,50.3,66.0,7.4,1,82.4
16.3,75.1,67.9,83.4,6.9,0,90.2
16.7,63.5,89.9,71.3,8.7,1,91.4
11.6,78.6,70.3,45.9,7.1,1,92.5
16.2,71.8,72.8,71.3,5.9,1,93.5
16.5,100.0,54.9,64.6,8.5,1,100.0
11.4,95.1,62.6,58.7,6.7,1,83.2
24.3,78.1,65.5,62.6,7.8,1,100.0
17.4,100.0,66.2,76.1,6.3,1,100.0
9.0,94.8,85.4,88.3,6.0,0,91.2
18.3,81.8,76.7,78.1,7.1,1,100.0
10.1,60.0,56.7,68.9,7.0,1,78.0
18.9,100.0,73.0,79.6,7.7,1,100.0
20.8,71.1,76.0,70.4,6.6,1,99.3
10.9,68.5,83.7,68.1,4.2,1,91.0
19.8,95.2,89.0,63.5,6.4,1,100.0
17.1,100.0,57.8,57.5,8.2,1,100.0
19.1,98.8,60.3,71.1,6.6,1,91.5
24.5,90.6,54.9,76.6,6.6,1,93.0
13.8,90.9,67.2,74.0,8.5,1,98.3
11.2,93.5,75.6,70.8,5.9,1,95.4
10.6,92.6,81.8,65.5,4.7,1,91.3
10.9,87.8,69.1,81.1,6.8,0,92.4
14.6,86.0,66.2,61.8,6.3,0,87.9
16.7,84.4,71.8,82.8,5.6,1,100.0
16.4,77.5,60.0,65.0,6.7,1,87.9
19.1,82.2,95.1,67.5,7.7,1,100.0
15.1,68.1,50.7,60.3,7.0,1,78.6
22.3,84.0,72.2,70.0,7.5,1,100.0
13.7,75.1,94.3,84.8,9.7,1,100.0
28.6,74.0,70.1,80.2,6.5,1,100.0
18.1,86.8,67.7,84.8,7.4,1,100.0
10.7,98.9,65.7,80.2,6.2,1,89.3
9.6,94.2,67.8,64.0,5.7,0,89.9
17.4,69.3,86.5,71.7,6.1,1,98.3
13.9,75.1,43.5,67.2,6.3,1,82.3
18.6,94.4,88.4,88.3,7.5,1,100.0
17.4,75.2,52.9,63.0,10.0,1,91.6
14.6,82.8,66.8,83.9,5.9,1,91.5
10.8,90.5,64.8,83.9,6.4,1,97.0
7.4,75.3,77.1,93.3,6.9,0,88.4
12.8,86.1,50.8,70.9,7.6,1,89.7
19.3,71.7,75.5,82.1,7.4,1,91.1
16.1,79.0,94.3,97.8,8.9,1,100.0
8.8,88.2,53.6,68.8,4.0,1,77.1
15.9,69.1,72.3,59.6,4.0,1,91.9
16.9,89.4,62.1,56.2,6.3,0,88.4
10.6,84.8,75.1,82.1,8.6,0,94.2
15.8,90.5,70.2,56.2,4.7,1,93.1
15.3,87.2,62.3,71.3,4.0,1,84.6
9.3,98.6,75.9,79.4,7.9,1,100.0
16.8,86.3,91.7,76.9,7.4,1,100.0
17.8,80.7,67.7,79.3,5.4,0,91.1
20.4,86.2,78.6,77.2,5.5,1,100.0
20.3,90.4,54.5,87.8,5.5,1,93.7
8.1,85.5,58.5,65.5,7.2,1,81.2
10.3,85.4,75.7,68.2,6.1,1,92.1
17.6,78.0,87.8,67.3,7.7,0,99.3
17.6,78.4,74.3,83.3,4.0,1,93.4
17.6,71.0,66.2,84.0,5.7,1,94.4
34.3,100.0,70.0,79.5,5.3,1,100.0
17.9,72.6,55.0,86.8,6.6,1,86.4
20.7,78.1,77.3,63.2,6.2,1,99.9
19.8,77.8,80.6,91.7,8.2,1,100.0
18.3,93.9,64.6,90.2,4.2,1,98.7
13.4,82.1,64.4,82.4,7.1,1,97.9
18.8,97.5,73.2,92.8,7.8,1,100.0
11.1,78.3,64.8,58.4,9.8,1,91.5
13.8,87.8,69.2,69.8,6.3,1,88.8
12.6,76.6,95.2,67.6,7.5,1,96.5
15.4,100.0,67.0,82.2,4.3,1,94.5
26.6,73.1,65.7,64.5,4.0,1,89.6
5.7,88.1,62.2,82.6,8.3,1,87.6
18.4,91.3,78.9,88.7,7.0,1,100.0
6.9,89.1,67.8,82.0,8.8,0,92.3
12.6,83.1,62.2,77.8,4.9,1,86.5
20.4,83.7,85.9,65.1,7.8,1,99.2
15.3,85.4,87.0,66.5,9.8,1,100.0
9.6,83.5,62.8,87.5,7.6,1,88.4
11.4,94.6,47.6,82.8,7.4,1,89.0
18.4,100.0,82.1,74.6,7.0,1,100.0
11.3,79.4,61.8,70.8,4.6,1,84.4
16.1,71.3,79.5,54.7,9.0,1,99.9
15.2,84.1,46.4,64.3,6.1,1,84.9
11.7,100.0,80.7,94.1,7.8,1,100.0
25.7,77.0,55.5,62.2,4.7,1,99.1
18.2,100.0,78.8,76.9,5.2,1,100.0
4.9,100.0,70.2,85.1,9.2,1,97.2
15.9,79.5,58.6,62.5,6.5,0,86.1
11.7,90.7,65.1,76.8,9.2,1,97.8
19.3,100.0,78.2,84.4,6.9,1,100.0
11.0,81.2,71.3,75.1,4.2,0,93.0
14.4,83.0,77.0,100.0,8.3,1,100.0
17.5,79.2,93.7,58.3,6.1,1,99.8
19.3,74.9,51.2,85.6,8.0,1,93.0
9.0,78.5,89.4,73.3,7.0,0,96.0
13.3,72.8,71.3,82.7,4.7,0,78.6
12.6,85.3,59.2,79.4,7.2,1,83.2
11.7,77.3,54.0,67.7,10.0,1,85.3
23.8,87.3,67.7,77.3,7.7,1,97.8
17.0,69.4,81.1,56.4,6.9,1,91.8
8.7,88.3,68.5,81.0,8.6,1,97.0
19.6,93.3,88.1,78.0,7.3,1,100.0
25.6,65.1,52.6,81.4,7.3,1,87.6
20.2,88.7,69.9,85.6,5.4,1,100.0
7.4,97.3,55.0,78.7,7.4,1,92.4
12.6,72.9,74.4,76.5,8.6,1,88.1
21.3,100.0,80.6,66.2,5.7,1,100.0
11.5,89.2,65.0,67.9,9.1,0,92.5
17.2,77.9,38.7,86.9,6.9,1,89.2
18.9,84.4,72.4,89.4,5.7,1,100.0
10.4,90.6,75.2,72.6,8.5,1,100.0
14.7,85.8,74.9,75.5,6.6,1,96.0
0.0,90.4,84.8,66.0,8.1,0,86.8
9.9,75.8,57.1,86.7,6.6,1,84.1
13.7,86.7,78.2,81.7,6.9,1,99.9
8.8,70.9,84.3,94.4,7.7,1,100.0
23.2,83.9,48.7,66.2,7.4,1,87.2
7.8,76.0,73.8,71.2,4.0,1,80.4
12.8,77.6,63.9,77.3,5.3,1,93.0
15.7,97.4,69.0,81.5,8.4,1,100.0
22.2,95.9,74.2,72.8,6.8,1,100.0
7.8,91.1,64.2,66.3,6.2,1,90.2
20.8,74.1,61.9,83.8,5.0,0,89.3
15.1,81.8,70.4,82.2,5.4,1,100.0
10.1,97.1,57.0,65.8,4.0,0,79.5
17.3,86.4,57.0,88.6,6.8,1,99.6
16.0,100.0,78.2,86.7,6.1,1,100.0
12.0,88.9,56.2,76.3,5.6,1,89.8
15.3,86.9,78.0,75.8,6.9,1,100.0
13.1,81.9,75.6,80.5,7.5,1,100.0
15.6,86.3,49.3,66.4,10.0,1,89.9
18.3,83.5,61.9,75.3,4.7,1,100.0
22.9,92.1,84.3,53.5,8.7,1,100.0
8.8,94.6,58.2,83.8,8.5,1,92.1
25.7,77.1,64.4,59.4,5.8,1,91.7
5.2,71.7,75.5,90.0,7.3,1,94.2
14.2,66.6,79.4,71.7,6.3,1,95.4
17.9,90.1,67.0,72.9,7.3,1,96.7
16.4,74.0,62.8,68.7,9.3,1,95.4
11.9,63.5,87.1,72.1,7.9,1,88.6
14.0,88.9,90.9,89.2,7.8,1,100.0
12.5,100.0,81.7,50.1,6.4,1,99.1
12.1,84.9,71.0,87.8,4.8,1,100.0
19.2,93.4,60.3,78.4,6.7,1,95.1
16.8,85.8,60.0,62.9,8.8,1,88.8
11.5,84.0,76.3,64.2,4.7,1,86.2
19.5,94.2,75.0,91.8,5.4,1,100.0
16.5,82.1,86.8,65.5,7.2,1,100.0
19.1,87.7,77.8,63.5,5.5,1,100.0
18.1,88.2,52.0,86.4,5.8,1,94.0
10.9,78.3,82.6,78.4,6.4,0,95.4
12.2,94.9,58.0,65.6,5.0,1,87.6
18.7,83.3,65.4,77.2,5.5,1,94.4
18.1,77.4,73.0,64.7,8.1,1,95.7
14.9,90.4,93.9,86.0,5.0,1,100.0
15.6,76.0,100.0,85.6,4.6,1,98.1
21.4,85.3,77.3,80.3,6.1,1,100.0
12.0,84.9,67.8,78.6,8.1,0,89.9
17.7,95.9,76.4,92.6,6.7,1,100.0
14.0,89.7,80.7,75.0,6.3,1,100.0
13.9,84.7,66.2,63.2,7.1,0,85.6
20.5,93.2,91.5,79.5,4.4,0,100.0
19.1,98.9,72.8,95.9,7.7,1,100.0
19.1,90.6,76.0,64.9,7.6,0,100.0
21.5,85.1,78.0,71.4,6.4,1,98.2
15.1,71.9,75.1,79.2,8.5,0,92.6
18.4,74.3,80.1,74.5,5.3,1,97.8
13.4,81.9,62.6,65.2,8.7,1,88.5
16.6,78.9,63.3,86.2,7.2,1,93.0
14.3,83.1,56.8,98.2,6.5,1,94.4
15.5,85.6,75.3,77.0,7.0,1,94.6
18.0,90.3,79.3,66.0,6.8,1,100.0
10.9,84.3,75.5,59.5,8.8,1,90.7
25.5,89.9,90.1,77.6,5.4,1,100.0
10.0,85.6,69.9,86.0,5.9,1,100.0
8.9,65.2,78.0,79.8,8.6,1,88.3
20.8,75.6,56.9,75.0,6.1,1,93.4
19.0,83.6,65.4,69.1,8.4,1,95.0
18.1,72.9,78.3,64.1,9.5,0,98.9
18.1,91.0,80.2,83.3,6.4,1,100.0
14.9,100.0,66.5,84.1,8.0,1,100.0
10.5,97.2,69.1,59.5,5.3,1,86.6
15.4,82.9,51.8,90.9,8.1,1,92.4
11.6,99.9,65.7,80.7,7.3,1,93.5
19.9,86.5,80.7,89.0,7.7,1,100.0
14.3,81.6,76.9,61.6,6.0,1,89.7
10.9,78.9,76.0,61.3,4.5,1,89.0
13.4,82.0,70.6,73.5,7.8,1,93.6
17.1,81.1,70.1,80.0,4.0,1,92.6
12.2,86.7,62.1,93.0,6.5,0,89.6
10.9,86.6,78.4,82.1,8.4,1,97.0
16.2,85.0,75.1,72.6,7.3,1,99.8
16.2,89.4,75.9,64.7,9.9,1,100.0
12.5,96.9,63.7,87.3,8.5,1,96.6
12.6,94.5,44.2,65.4,6.0,1,87.9
16.2,70.2,83.2,91.3,7.0,1,100.0
7.8,59.5,64.3,72.2,6.9,0,71.3
8.0,94.3,59.6,90.9,4.6,1,82.8
11.4,71.3,78.3,81.8,5.6,1,92.8
13.9,82.8,65.3,73.6,6.2,1,88.9
16.6,73.3,82.7,69.8,4.0,1,100.0
22.4,67.0,77.4,71.6,7.1,1,99.1
19.3,90.4,78.2,79.3,6.6,1,100.0
14.2,92.6,53.6,75.8,4.5,1,82.9
14.9,79.2,84.5,69.1,7.6,1,100.0
10.0,59.1,73.1,73.3,8.1,1,84.5
14.9,79.5,65.6,75.8,7.3,1,93.3
13.6,88.9,71.7,53.7,6.5,1,95.5
16.6,70.2,48.7,79.6,7.9,1,84.7
10.9,86.8,74.9,65.2,8.0,1,94.6
17.6,84.8,57.6,63.5,7.5,1,91.4
22.7,90.8,53.8,58.1,5.8,1,95.0
14.5,86.2,51.7,57.1,7.4,1,88.0
17.0,75.3,83.4,61.4,8.8,1,99.1
18.5,97.0,62.4,67.9,6.1,1,96.8
13.0,83.4,88.4,94.5,10.0,1,100.0
16.1,84.7,63.6,69.7,6.2,1,86.1
15.1,75.7,49.5,76.8,7.0,1,86.5
15.5,80.6,56.6,79.0,6.0,1,96.6
11.1,76.2,84.8,76.3,7.3,1,93.3
15.1,83.3,68.1,74.2,4.4,0,82.7
17.5,100.0,63.4,63.0,6.2,1,92.8
22.3,71.3,71.9,89.5,5.4,1,100.0
19.8,68.9,76.0,93.1,7.2,0,98.1
25.8,99.7,83.4,58.2,8.5,1,100.0
11.2,82.9,87.4,64.8,8.0,1,95.1
19.4,78.3,65.7,72.2,4.0,1,91.1
15.9,95.4,54.1,65.4,10.0,1,89.8
25.9,78.9,65.0,80.1,7.4,0,98.1
11.0,100.0,73.1,67.7,5.8,1,98.8
10.8,91.8,58.4,96.7,7.2,1,89.7
12.0,80.1,58.5,86.9,7.3,1,84.2
4.4,100.0,74.1,77.1,6.0,1,98.9
12.4,78.9,69.4,85.3,7.3,1,91.9
11.2,92.4,70.4,86.1,6.1,1,100.0
15.8,88.0,60.9,69.4,6.4,1,91.3
16.7,98.0,67.2,66.8,6.0,1,96.4
24.4,100.0,58.9,75.8,4.9,1,100.0
19.8,85.3,80.7,83.6,7.2,1,100.0
12.1,77.5,82.4,76.4,7.9,1,98.5
10.5,89.6,47.8,59.2,7.8,1,81.4
17.5,78.2,58.8,67.0,8.2,1,86.4
8.4,100.0,52.0,74.3,7.5,0,85.0
24.2,86.4,62.2,74.2,6.2,1,98.2
20.9,81.3,69.0,94.7,8.3,1,100.0
12.7,86.8,52.6,61.1,5.0,1,77.1
6.4,71.5,58.9,80.1,5.6,0,80.9
21.8,75.3,58.0,89.9,5.6,1,98.1
14.4,97.0,72.5,97.7,8.6,1,100.0
21.2,78.4,70.8,71.0,8.4,1,99.4
7.0,74.5,61.3,79.9,7.7,0,73.1
12.0,90.4,72.1,80.7,8.6,1,100.0
15.0,96.9,63.4,77.0,5.7,1,95.1
15.2,92.2,66.7,74.0,7.5,0,89.6
12.7,95.0,90.1,79.4,6.8,1,100.0
18.1,77.4,86.1,49.7,8.3,1,100.0
9.7,70.8,54.4,81.8,6.8,1,82.2
14.3,100.0,80.0,76.3,6.4,0,100.0
15.6,81.8,79.7,72.8,7.8,1,100.0
17.6,82.5,56.2,95.5,8.3,0,88.6
18.6,98.3,79.8,68.3,6.0,1,100.0
9.4,90.6,88.5,71.0,6.9,1,100.0
7.3,89.6,56.5,94.9,5.4,0,71.5
21.4,100.0,59.0,66.7,4.0,1,94.5
16.7,78.6,82.2,69.5,7.3,1,93.9
11.3,94.3,73.3,73.5,7.9,1,96.3
22.8,85.6,76.6,83.4,7.4,1,100.0
15.6,87.7,74.1,77.1,4.1,1,93.6
20.9,100.0,74.7,62.1,6.5,1,100.0
15.3,90.1,54.1,69.7,4.0,1,81.5
25.3,90.4,82.6,68.9,9.1,1,100.0
23.8,95.7,84.0,74.2,5.4,1,100.0
13.8,81.4,67.2,79.3,8.9,0,86.9
19.9,76.6,69.5,79.2,8.4,1,100.0
18.2,74.6,51.6,57.2,5.6,1,80.8
21.8,65.3,76.2,85.6,5.3,1,98.1
10.2,100.0,76.9,77.5,7.5,1,100.0
18.4,74.0,69.3,88.8,5.7,1,93.3
20.3,82.8,83.5,79.4,7.2,1,100.0
6.2,82.2,66.0,86.0,6.3,0,83.2
9.1,88.1,76.8,79.7,4.3,0,84.9
4.8,93.2,57.8,88.5,4.0,1,78.4
13.7,93.6,69.7,80.2,7.3,0,90.3
18.6,79.2,67.9,74.0,6.2,1,88.3
22.5,83.3,72.7,97.7,6.2,1,100.0
15.4,87.8,65.6,83.9,8.0,0,88.9
23.1,82.5,68.4,80.7,8.8,1,100.0
8.1,100.0,79.9,62.2,6.6,1,100.0
6.5,89.9,64.8,62.1,6.5,1,90.1
14.7,92.3,50.7,77.9,7.8,1,91.9
16.9,91.6,91.0,76.5,5.0,1,100.0
14.8,96.7,86.6,68.9,7.3,1,100.0
4.7,86.8,54.5,76.4,7.8,0,80.7
14.6,72.0,78.3,90.9,8.0,1,98.5
8.5,89.0,64.0,82.0,4.1,1,80.9
18.3,78.5,73.2,63.6,5.9,1,95.6
16.8,79.7,73.5,73.9,5.7,1,98.4
10.3,90.9,67.2,67.0,7.1,1,88.9
12.4,97.4,60.6,71.1,7.7,1,95.3
9.7,85.2,61.7,70.9,9.2,0,84.5
14.7,88.1,59.0,70.2,6.3,0,84.5
19.8,100.0,60.0,62.4,6.3,1,86.8
10.1,87.4,69.2,73.7,8.7,0,88.9
17.5,100.0,61.4,69.4,7.4,1,100.0
12.3,90.7,78.2,45.7,8.9,1,93.3
11.0,67.4,87.8,95.5,7.4,1,99.6
14.5,92.5,63.0,85.9,5.3,1,91.7
9.8,88.8,72.9,71.2,5.0,1,91.8
12.2,97.9,76.0,75.2,4.7,1,95.8
9.0,91.7,75.7,63.3,8.0,1,90.9
24.8,83.6,70.9,92.0,8.8,0,100.0
15.2,72.8,78.9,94.0,9.8,1,100.0
11.5,82.9,75.8,76.6,8.3,1,94.7
16.1,76.5,55.1,85.2,8.7,1,95.0
14.4,79.2,80.4,76.8,6.1,1,99.1
13.9,90.9,80.6,61.6,5.3,1,98.5
18.1,100.0,60.8,70.9,8.3,1,93.7
18.8,88.9,70.5,76.3,7.6,1,100.0
12.3,73.0,78.2,70.5,7.2,1,90.6
12.1,89.4,67.5,72.8,7.6,1,93.0
13.6,97.0,82.9,74.1,7.5,1,100.0
3.5,78.9,98.4,74.2,8.9,1,100.0
7.4,83.7,60.6,75.5,8.9,1,87.2
21.8,85.1,53.4,64.4,7.8,1,85.1
23.2,77.2,73.6,67.8,8.3,1,100.0
13.8,91.5,78.7,62.2,7.8,1,93.7
17.9,83.8,67.2,84.8,6.3,1,93.7
16.6,89.2,87.4,53.9,8.1,1,100.0
30.4,76.1,53.9,86.5,4.9,1,100.0
20.6,80.6,78.3,88.9,8.6,1,100.0
14.4,92.2,62.7,72.0,5.2,1,90.8
10.2,81.3,90.6,49.0,7.4,0,90.9
7.0,100.0,93.9,71.4,5.7,0,93.6
16.0,81.0,60.8,74.4,7.8,1,93.6
11.2,87.2,63.4,64.9,6.9,1,89.1
7.9,94.3,80.3,69.8,4.6,1,96.5
11.8,70.8,65.4,90.3,7.6,0,90.2
9.6,67.4,69.5,81.6,6.1,0,83.1
23.4,69.7,70.3,65.8,8.3,1,96.9
19.4,97.6,47.0,59.0,7.0,1,93.9
15.0,79.5,69.8,71.7,7.6,1,94.1
22.4,100.0,61.7,72.9,5.6,1,96.3
15.4,79.4,64.1,80.0,6.1,1,90.3
10.7,86.8,87.3,69.6,6.3,1,98.2
22.6,100.0,54.9,80.1,8.3,0,100.0
17.7,100.0,79.8,94.4,9.5,1,100.0
9.8,100.0,66.7,83.2,5.8,1,90.0
14.0,97.1,66.6,74.5,8.6,0,95.0
10.6,95.2,79.5,73.2,4.0,0,89.9
8.1,90.9,74.1,71.4,5.2,1,91.2
19.6,92.8,76.8,86.8,5.6,1,100.0
24.5,79.5,81.6,68.7,5.0,1,100.0
8.0,76.8,66.0,75.5,4.6,1,80.5
17.8,85.0,62.7,75.5,7.6,0,88.9
11.7,83.3,57.0,70.0,6.7,0,77.0
12.6,80.5,60.1,61.3,7.6,1,89.7
12.0,92.0,100.0,78.2,8.0,1,100.0
10.7,94.6,84.9,74.4,7.4,1,100.0
15.2,85.9,53.8,80.0,8.0,0,86.5
10.8,99.8,54.1,69.7,6.9,1,95.4
16.4,73.6,75.8,87.2,5.2,1,97.8
14.7,83.1,76.6,66.2,8.6,1,100.0
13.8,77.8,76.6,92.1,6.1,1,92.8
10.5,66.3,66.9,57.5,5.6,1,82.7
12.1,84.2,68.5,79.3,6.7,1,89.5
18.8,83.8,73.9,79.8,5.6,0,89.6
17.5,100.0,71.0,67.0,6.4,0,94.0
10.1,91.3,43.4,79.2,7.5,1,82.6
15.5,74.8,67.2,87.8,7.5,1,94.6
18.8,100.0,59.8,52.8,5.7,1,87.3
6.7,97.2,72.1,80.0,6.3,1,97.6
17.7,90.8,100.0,50.1,8.6,1,100.0
11.7,82.7,74.4,65.3,7.7,0,80.8
17.9,75.4,66.2,91.3,10.0,1,100.0
11.2,81.3,81.1,69.2,8.8,1,94.6
6.0,95.9,75.8,63.3,8.7,0,93.0
6.9,100.0,75.0,73.0,4.9,0,87.2
15.2,100.0,77.3,95.7,8.1,1,100.0
16.3,80.1,94.7,56.7,6.9,1,100.0
10.5,73.8,56.4,64.5,6.2,1,85.1
18.2,86.4,75.7,90.0,7.3,1,99.8
6.7,67.3,58.9,93.6,8.4,1,87.9
14.7,88.2,76.7,74.0,7.8,1,100.0
8.9,83.5,59.0,62.6,5.7,0,79.7
11.7,80.3,65.0,96.0,8.1,1,100.0
